Indice,Año,Plásticas,Textiles,Pesqueras,Suma Industrias
1,2001,0,0,0,0
2,2001,7,8,1,16
3,2001,7,8,1,16
4,2001,8,8,1,17
5,2001,8,8,1,17
6,2001,8,8,1,17
7,2001,8,8,1,17
8,2001,8,8,1,17
9,2001,8,8,1,17
10,2001,8,8,1,17
11,2001,8,8,1,17
12,2001,7,7,0,14
13,2002,8,8,2,18
14,2002,8,8,2,18
15,2002,8,8,2,18
16,2002,8,8,2,18
17,2002,8,8,2,18
18,2002,8,8,2,18
19,2002,8,8,2,18
20,2002,9,8,2,19
21,2002,9,8,2,19
22,2002,9,8,1,18
23,2002,8,7,0,15
24,2002,9,8,2,19
25,2003,9,8,2,19
26,2003,9,8,2,19
27,2003,9,8,2,19
28,2003,9,7,2,18
29,2003,9,7,2,18
30,2003,9,8,2,19
31,2003,9,8,2,19
32,2003,9,8,2,19
33,2003,9,8,2,19
34,2003,9,7,2,18
35,2003,9,8,2,19
36,2003,9,8,2,19
37,2004,9,8,2,19
38,2004,9,8,2,19
39,2004,9,8,2,19
40,2004,9,8,2,19
41,2004,9,8,2,19
42,2004,9,8,2,19
43,2004,9,8,1,18
44,2004,9,8,1,18
45,2004,9,7,0,16
46,2004,9,8,2,19
47,2004,9,8,2,19
48,2004,9,8,2,19
49,2005,9,8,2,19
50,2005,8,8,2,18
51,2005,9,8,2,19
52,2005,9,8,2,19
53,2005,8,8,1,17
54,2005,8,8,1,17
55,2005,9,8,2,19
56,2005,8,7,1,16
57,2005,9,8,2,19
58,2005,9,8,2,19
59,2005,9,8,2,19
60,2005,9,8,2,19
61,2006,9,8,2,19
62,2006,9,8,2,19
63,2006,9,8,2,19
64,2006,9,8,2,19
65,2006,9,8,2,19
66,2006,9,8,2,19
67,2006,9,8,2,19
68,2006,9,8,2,19
69,2006,9,8,2,19
70,2006,9,8,2,19
71,2006,9,8,2,19
72,2006,9,8,2,19
73,2007,9,8,2,19
74,2007,9,8,2,19
75,2007,9,8,2,19
76,2007,9,8,2,19
77,2007,9,8,2,19
78,2007,9,7,1,17
79,2007,9,8,3,20
80,2007,9,8,4,21
81,2007,9,8,5,22
82,2007,9,8,5,22
83,2007,9,8,5,22
84,2007,9,8,5,22
85,2008,9,8,5,22
86,2008,9,8,5,22
87,2008,9,8,5,22
88,2008,9,8,5,22
89,2008,9,7,4,20
90,2008,9,8,4,21
91,2008,9,8,4,21
92,2008,9,8,4,21
93,2008,9,8,4,21
94,2008,9,8,4,21
95,2008,9,8,4,21
96,2008,9,8,4,21
97,2009,9,8,4,21
98,2009,9,8,4,21
99,2009,9,8,4,21
100,2009,9,7,4,20
101,2009,9,8,4,21
102,2009,9,8,4,21
103,2009,9,8,4,21
104,2009,9,8,4,21
105,2009,9,8,4,21
106,2009,9,8,4,21
107,2009,9,8,4,21
108,2009,9,8,4,21
109,2010,9,8,4,21
110,2010,8,8,4,20
111,2010,8,7,3,18
112,2010,7,8,4,19
113,2010,7,8,4,19
114,2010,7,8,4,19
115,2010,7,8,4,19
116,2010,7,8,4,19
117,2010,7,8,4,19
118,2010,7,8,4,19
119,2010,7,8,4,19
120,2010,7,8,4,19
121,2011,7,8,4,19
122,2011,7,8,4,19
123,2011,7,8,4,19
124,2011,7,8,3,18
125,2011,7,8,4,19
126,2011,9,8,3,20
127,2011,9,8,3,20
128,2011,9,8,3,20
129,2011,8,8,3,19
130,2011,8,8,3,19
131,2011,8,8,3,19
132,2011,7,8,3,18
133,2012,7,8,3,18
134,2012,7,8,3,18
135,2012,7,8,3,18
136,2012,7,8,3,18
137,2012,7,8,3,18
138,2012,7,8,3,18
139,2012,7,8,3,18
140,2012,7,8,3,18
141,2012,7,7,3,17
142,2012,7,8,3,18
143,2012,7,7,3,17
144,2012,7,8,3,18
145,2013,7,8,3,18
146,2013,7,8,3,18
147,2013,7,8,3,18
148,2013,7,8,3,18
149,2013,7,8,3,18
150,2013,7,8,3,18
151,2013,7,8,3,18
152,2013,7,8,3,18
153,2013,7,8,3,18
154,2013,7,8,3,18
155,2013,7,8,3,18
156,2013,7,8,3,18
157,2014,7,8,3,18
158,2014,7,8,3,18
159,2014,7,8,3,18
160,2014,7,8,3,18
161,2014,7,8,3,18
162,2014,7,8,3,18
163,2014,7,8,3,18
164,2014,7,8,3,18
165,2014,7,8,3,18
166,2014,7,8,3,18
167,2014,7,8,3,18
168,2014,7,8,3,18
169,2015,7,8,3,18
170,2015,7,8,3,18
171,2015,7,8,3,18
172,2015,7,8,3,18
173,2015,7,8,3,18
174,2015,7,8,3,18
175,2015,7,8,3,18
176,2015,7,8,3,18
177,2015,7,8,3,18
178,2015,7,8,3,18
179,2015,7,8,3,18
180,2015,7,8,3,18
181,2016,7,8,3,18
182,2016,7,8,3,18
183,2016,7,8,3,18
184,2016,7,8,3,18
185,2016,7,8,3,18
186,2016,7,8,3,18
187,2016,7,8,3,18
188,2016,7,8,3,18
189,2016,7,8,3,18
190,2016,7,8,3,18
191,2016,7,8,3,18
192,2016,7,8,3,18
193,2017,7,8,3,18
194,2017,7,8,3,18
195,2017,7,8,3,18
196,2017,7,8,3,18
197,2017,7,8,3,18
198,2017,7,8,3,18
199,2017,7,8,3,18
200,2017,7,8,3,18
201,2017,7,8,3,18
202,2017,7,8,3,18
203,2017,7,8,3,18
204,2017,7,8,3,18
205,2018,7,8,3,18
206,2018,7,8,3,18
207,2018,7,8,3,18
208,2018,7,8,3,18
209,2018,7,8,3,18
210,2018,7,8,3,18
211,2018,7,8,3,18
212,2018,7,8,3,18
213,2018,7,8,3,18
214,2018,7,8,3,18
215,2018,7,8,3,18
216,2018,7,8,3,18
217,2019,7,8,3,18
218,2019,7,8,3,18
219,2019,7,8,3,18
220,2019,7,8,3,18
221,2019,7,8,3,18
222,2019,7,8,3,18
223,2019,7,8,3,18
224,2019,7,8,3,18
225,2019,7,8,3,18
226,2019,7,8,3,18
227,2019,7,8,3,18
228,2019,7,8,3,18
229,2020,7,8,3,18
230,2020,7,8,3,18
231,2020,7,8,3,18
232,2020,7,8,2,17
233,2020,7,8,3,18
234,2020,7,8,3,18
235,2020,7,8,3,18
236,2020,7,8,3,18
237,2020,7,8,3,18
238,2020,7,8,3,18
239,2020,7,8,3,18
240,2020,7,8,3,18
241,2021,7,8,3,18
242,2021,7,8,3,18
243,2021,7,8,3,18
244,2021,7,8,3,18
245,2021,7,7,3,17
246,2021,7,8,3,18
247,2021,7,8,3,18
248,2021,7,8,3,18
249,2021,7,8,3,18
250,2021,7,8,3,18
251,2021,7,8,3,18
252,2021,7,8,2,17
253,2022,6,3,2,11
254,2022,7,8,2,17
255,2022,7,7,2,16
256,2022,7,6,2,15
257,2022,7,7,2,16
258,2022,7,6,2,15
259,2022,7,6,2,15
260,2022,7,6,2,15
261,2022,7,6,2,15
262,2022,7,6,2,15
263,2022,7,6,2,15
264,2022,7,6,2,15
265,2023,7,6,2,15
266,2023,7,6,2,15
267,2023,7,6,2,15
