indice,periodos, Pesca y actividades relacionadas con la pesca , Productos textiles , Productos de caucho y plástico ,Suma de gastos
1,2001-01-01,1123,945,1423,3491
2,2001-02-01,1267,949,1467,3683
3,2001-03-01,2022,958,1422,4402
4,2001-04-01,872,932,1354,3158
5,2001-05-01,2693,965,1418,5076
6,2001-06-01,2154,1309,2140,5603
7,2001-07-01,1243,953,1386,3582
8,2001-08-01,1727,926,1391,4044
9,2001-09-01,1351,849,1311,3511
10,2001-10-01,1555,910,1356,3821
11,2001-11-01,2004,934,1391,4329
12,2001-12-01,1439,1350,2260,5049
13,2002-01-01,1900,730,1542,4172
14,2002-02-01,1537,629,1383,3549
15,2002-03-01,1385,641,1293,3319
16,2002-04-01,2298,791,1333,4422
17,2002-05-01,2719,846,1362,4927
18,2002-06-01,3708,1123,2027,6858
19,2002-07-01,1794,869,1422,4085
20,2002-08-01,2564,979,1444,4987
21,2002-09-01,1829,919,1436,4184
22,2002-10-01,2678,1059,1509,5246
23,2002-11-01,2293,995,1495,4783
24,2002-12-01,3115,1523,2660,7298
25,2003-01-01,2584,1043,1604,5231
26,2003-02-01,2055,1048,1694,4797
27,2003-03-01,2997,1125,1521,5643
28,2003-04-01,3082,1116,1591,5789
29,2003-05-01,2293,1172,1665,5130
30,2003-06-01,3954,1501,2311,7766
31,2003-07-01,2847,1226,1797,5870
32,2003-08-01,2288,1223,1746,5257
33,2003-09-01,2462,1215,1752,5429
34,2003-10-01,2913,1275,1822,6010
35,2003-11-01,2767,1261,1931,5959
36,2003-12-01,3689,1923,3361,8973
37,2004-01-01,2130,1405,1827,5362
38,2004-02-01,3361,1324,2027,6712
39,2004-03-01,3515,1467,1921,6903
40,2004-04-01,3489,1475,1984,6948
41,2004-05-01,3360,1488,1890,6738
42,2004-06-01,3994,2111,3013,9118
43,2004-07-01,2979,1579,1959,6517
44,2004-08-01,3813,1482,1951,7246
45,2004-09-01,2354,1543,1991,5888
46,2004-10-01,3244,1573,2254,7071
47,2004-11-01,3053,1567,2106,6726
48,2004-12-01,4334,2367,3726,10427
49,2005-01-01,3195,1567,2678,7440
50,2005-02-01,3319,1648,2106,7073
51,2005-03-01,2890,1670,2174,6734
52,2005-04-01,2914,1656,2165,6735
53,2005-05-01,3805,1805,2238,7848
